key;value
99;Branco
1;Medicamento
2;Agrotóxico uso agrícola
3;Agrotóxico uso doméstico
4;Agrotóxico uso saúde pública
5;Raticida
6;Prod. uso veterinário
7;Prod. uso domiciliar
8;Cosmético_higiene pessoal
9;Prod. químico uso industrial
10;Metal
11;Drogas de abuso
12;Planta tóxica
13;Alimento e bebida
14;Outro
01;Medicamento
02;Agrotóxico uso agrícola
03;Agrotóxico uso doméstico
04;Agrotóxico uso saúde pública
05;Raticida
06;Prod. uso veterinário
07;Prod. uso domiciliar
08;Cosmético_higiene pessoal
09;Prod. químico uso industrial
;
;
;
;
;
