key;value
00;Analfabeto
01;1ª a 4ª série incompleta do EF
02;4ª série completa do EF
03;5ª à 8ª série incompleta do EF
04;Ensino fundamental completo
05;Ensino médio incompleto
06;Ensino médio completo
07;Educação superior incompleta
08;Educação superior completa
09;Ignorado
10;Não se aplica
0;Analfabeto
1;1ª a 4ª série incompleta do EF
2;5ª à 8ª série incompleta do EF
3;5ª à 8ª série incompleta do EF
4;Ensino fundamental completo
5;Ensino médio incompleto
6;Ensino médio completo
7;Educação superior incompleta
8;Educação superior completa
9;Ignorado
